profile_name,failcode,reason
82P0393,-3,No available layers
82P0395,-3,No available layers
82P0439,-3,No available layers
82P0440,-3,No available layers
82P0441,-3,No available layers
82P0442,-3,No available layers
82P0443,-3,No available layers
83P0284,-3,No available layers
83P0513,-3,No available layers
84P0157,-3,No available layers
84P0223,-3,No available layers
84P0340,-1,No mineral soil
84P0587,-3,No available layers
84P0605,-3,No available layers
84P0627,-3,No available layers
85P0032,-3,No available layers
85P0034,-3,No available layers
85P0035,-3,No available layers
85P0036,-3,No available layers
85P0213,-3,No available layers
85P0214,-3,No available layers
85P0217,-3,No available layers
85P0220,-3,No available layers
85P0224,-3,No available layers
85P0225,-3,No available layers
85P0428,-3,No available layers
85P0611,-3,No available layers
85P0612,-3,No available layers
85P0678,-3,No available layers
85P0681,-3,No available layers
85P0682,-3,No available layers
85P0683,-3,No available layers
86P0310,-2,Less than 3 layers (in zstarfunc)
86P0959,-3,No available layers
87P0050,-2,Less than 3 layers (in zstarfunc)
87P0051,-2,Less than 3 layers (in zstarfunc)
87P0232,-3,No available layers
87P0233,-3,No available layers
87P0234,-2,Less than 3 layers (in zstarfunc)
87P0236,-3,No available layers
87P0237,-3,No available layers
87P0240,-3,No available layers
87P0242,-2,Less than 3 layers (in zstarfunc)
87P0243,-3,No available layers
87P0245,-3,No available layers
87P0246,-3,No available layers
87P0247,-2,Less than 3 layers (in zstarfunc)
87P0248,-3,No available layers
87P0249,-3,No available layers
87P0262,-3,No available layers
87P0430,-2,Less than 3 layers (in zstarfunc)
87P0433,-2,Less than 3 layers (in zstarfunc)
87P0434,-2,Less than 3 layers (in zstarfunc)
87P0444,-2,Less than 3 layers (in zstarfunc)
87P0446,-2,Less than 3 layers (in zstarfunc)
87P0460,-3,No available layers
87P0462,-3,No available layers
87P0471,-2,Less than 3 layers (in zstarfunc)
87P0474,-2,Less than 3 layers (in zstarfunc)
87P0611,-2,Less than 3 layers (in zstarfunc)
87P0648,-2,Less than 3 layers (in zstarfunc)
87P0649,-2,Less than 3 layers (in zstarfunc)
87P0650,-2,Less than 3 layers (in zstarfunc)
87P0651,-2,Less than 3 layers (in zstarfunc)
87P0728,-2,Less than 3 layers (in zstarfunc)
87P0729,-2,Less than 3 layers (in zstarfunc)
87P0825,-3,No available layers
88P0050,-2,Less than 3 layers (in zstarfunc)
88P0051,-2,Less than 3 layers (in zstarfunc)
88P0052,-2,Less than 3 layers (in zstarfunc)
88P0053,-2,Less than 3 layers (in zstarfunc)
88P0058,-3,No available layers
88P0255,-3,No available layers
88P0394,-3,No available layers
88P0431,-3,No available layers
88P0512,-2,Less than 3 layers (in zstarfunc)
88P0513,-2,Less than 3 layers (in zstarfunc)
88P0516,-2,Less than 3 layers (in zstarfunc)
88P0517,-2,Less than 3 layers (in zstarfunc)
88P0803,-3,No available layers
88P0947,-3,No available layers
89P0053,-3,No available layers
89P0455,-3,No available layers
89P0457,-3,No available layers
90P0232,-3,No available layers
90P0233,-3,No available layers
90P0234,-3,No available layers
90P0587,-3,No available layers
90P0666,-2,Less than 3 layers (in zstarfunc)
90P1110,-2,Less than 3 layers (in zstarfunc)
90P1114,-2,Less than 3 layers (in zstarfunc)
91P0150,-3,No available layers
91P0535,-3,No available layers
91P0540,-3,No available layers
91P1169,-2,Less than 3 layers (in zstarfunc)
