profile_name,failcode,reason
01P0005,-2,Less than 3 layers (in zstarfunc)
02N0353,-3,No available layers
02N0354,-3,No available layers
04N0271,-2,Less than 3 layers (in zstarfunc)
04N0277,-2,Less than 3 layers (in zstarfunc)
04N0278,-3,No available layers
04N0279,-3,No available layers
04N0281,-3,No available layers
04N0500,-3,No available layers
04N0501,-3,No available layers
04N1121,-1,No mineral soil
04N1122,-3,No available layers
05N0041,-3,No available layers
05N0042,-1,No mineral soil
05N0043,-1,No mineral soil
05N0338,-3,No available layers
05N0339,-2,Less than 3 layers (in zstarfunc)
06N0113,-3,No available layers
06N0114,-3,No available layers
06N0115,-2,Less than 3 layers (in zstarfunc)
06N0117,-3,No available layers
06N0118,-3,No available layers
06N0119,-3,No available layers
06N0120,-3,No available layers
06N1043,-3,No available layers
07N0173,-2,Less than 3 layers (in zstarfunc)
08N0205,-3,No available layers
10N0002,-2,Less than 3 layers (in zstarfunc)
10N0089,-2,Less than 3 layers (in zstarfunc)
10N0090,-2,Less than 3 layers (in zstarfunc)
10N0091,-3,No available layers
10N0092,-3,No available layers
10N0094,-3,No available layers
40A0615,-3,No available layers
40A0616,-3,No available layers
40A0632,-2,Less than 3 layers (in zstarfunc)
40A0647,-3,No available layers
40A0648,-3,No available layers
40A0655,-2,Less than 3 layers (in zstarfunc)
40A0663,-2,Less than 3 layers (in zstarfunc)
69C0069,-3,No available layers
69C0081,-2,Less than 3 layers (in zstarfunc)
74C0099,-3,No available layers
74C0100,-3,No available layers
74C0101,-3,No available layers
79P0401,-2,Less than 3 layers (in zstarfunc)
79P0407,-3,No available layers
81P0411,-3,No available layers
81P0412,-3,No available layers
81P0416,-3,No available layers
81P0707,-3,No available layers
81P0708,-3,No available layers
82P0154,-3,No available layers
82P0155,-3,No available layers
82P0538,-3,No available layers
82P0544,-3,No available layers
82P0545,-3,No available layers
82P0546,-3,No available layers
82P0547,-3,No available layers
82P0553,-2,Less than 3 layers (in zstarfunc)
82P0558,-3,No available layers
83P0003,-3,No available layers
83P0071,-3,No available layers
83P0074,-3,No available layers
83P0118,-3,No available layers
83P0119,-3,No available layers
83P0158,-3,No available layers
83P0199,-3,No available layers
83P0202,-3,No available layers
83P0741,-2,Less than 3 layers (in zstarfunc)
83P0765,-3,No available layers
83P0766,-2,Less than 3 layers (in zstarfunc)
83P0812,-2,Less than 3 layers (in zstarfunc)
83P0813,-2,Less than 3 layers (in zstarfunc)
83P0815,-1,No mineral soil
83P0820,-2,Less than 3 layers (in zstarfunc)
83P0821,-3,No available layers
83P0822,-2,Less than 3 layers (in zstarfunc)
83P0823,-2,Less than 3 layers (in zstarfunc)
83P0824,-3,No available layers
83P0825,-2,Less than 3 layers (in zstarfunc)
83P0826,-2,Less than 3 layers (in zstarfunc)
