profile_name,failcode,reason
KZP 1D 1,-3,No available layers
KZP 1D 2,-3,No available layers
KZP 1D 3,-3,No available layers
KZP 20C 1,-3,No available layers
KZP 20C 2,-3,No available layers
KZP 20C 3,-3,No available layers
KZP 4B 1,-3,No available layers
KZP 4B 2,-3,No available layers
KZP 4B 3,-3,No available layers
00KY-111-001,-3,No available layers
00KY-111-004,-3,No available layers
00P0940,-2,Less than 3 layers (in zstarfunc)
00P0941,-2,Less than 3 layers (in zstarfunc)
00P1160,-2,Less than 3 layers (in zstarfunc)
01KY-129-001,-3,No available layers
01KY-129-002,-3,No available layers
01N0805,-2,Less than 3 layers (in zstarfunc)
01N0918,-2,Less than 3 layers (in zstarfunc)
01N0921,-2,Less than 3 layers (in zstarfunc)
01N0923,-2,Less than 3 layers (in zstarfunc)
01N0928,-2,Less than 3 layers (in zstarfunc)
01N0929,-2,Less than 3 layers (in zstarfunc)
01N0930,-2,Less than 3 layers (in zstarfunc)
01N0931,-2,Less than 3 layers (in zstarfunc)
01N0932,-2,Less than 3 layers (in zstarfunc)
01N0933,-2,Less than 3 layers (in zstarfunc)
01N0934,-2,Less than 3 layers (in zstarfunc)
01N0935,-2,Less than 3 layers (in zstarfunc)
01N0936,-2,Less than 3 layers (in zstarfunc)
01N0937,-2,Less than 3 layers (in zstarfunc)
01N0959,-2,Less than 3 layers (in zstarfunc)
02N0098,-3,No available layers
02N0099,-3,No available layers
02N0100,-3,No available layers
02N0107,-3,No available layers
02N0108,-3,No available layers
02N0506,-2,Less than 3 layers (in zstarfunc)
03N0838,-2,Less than 3 layers (in zstarfunc)
03N0978,-3,No available layers
03N0979,-3,No available layers
04KS079093,-2,Less than 3 layers (in zstarfunc)
04KS103054,-2,Less than 3 layers (in zstarfunc)
04KS103055,-3,No available layers
04KS103056,-3,No available layers
04KS103057,-3,No available layers
04N0133,-2,Less than 3 layers (in zstarfunc)
04N0552,-2,Less than 3 layers (in zstarfunc)
04N1023,-2,Less than 3 layers (in zstarfunc)
04N1024,-2,Less than 3 layers (in zstarfunc)
05KS103145,-3,No available layers
05KY-019-001,-3,No available layers
05KY-063-001,-3,No available layers
05N0027,-3,No available layers
05N0136,-2,Less than 3 layers (in zstarfunc)
05N0831,-2,Less than 3 layers (in zstarfunc)
05N0832,-2,Less than 3 layers (in zstarfunc)
05N0847,-2,Less than 3 layers (in zstarfunc)
05N0852,-2,Less than 3 layers (in zstarfunc)
05N0857,-2,Less than 3 layers (in zstarfunc)
06KS103106,-3,No available layers
06KY-101-001,-3,No available layers
06KY-101-003,-3,No available layers
06N0888,-3,No available layers
06N0954,-2,Less than 3 layers (in zstarfunc)
06N0957,-2,Less than 3 layers (in zstarfunc)
06N0961,-2,Less than 3 layers (in zstarfunc)
07KS005001,-2,Less than 3 layers (in zstarfunc)
07KS005505,-2,Less than 3 layers (in zstarfunc)
07KS087022,-2,Less than 3 layers (in zstarfunc)
07KS103023,-3,No available layers
07KY-067-001,-3,No available layers
07KY-067-003,-3,No available layers
07KY-067-004,-3,No available layers
07KY-113-001,-3,No available layers
07KY-113-002,-3,No available layers
07KY-113-003,-3,No available layers
07KY-209-001,-3,No available layers
07KY-209-002,-3,No available layers
07KY-239-001,-3,No available layers
07N0354,-2,Less than 3 layers (in zstarfunc)
07N0355,-2,Less than 3 layers (in zstarfunc)
07N0356,-2,Less than 3 layers (in zstarfunc)
07N0357,-2,Less than 3 layers (in zstarfunc)
07N0360,-2,Less than 3 layers (in zstarfunc)
07N0362,-2,Less than 3 layers (in zstarfunc)
07N0364,-2,Less than 3 layers (in zstarfunc)
07N0365,-2,Less than 3 layers (in zstarfunc)
07N0366,-2,Less than 3 layers (in zstarfunc)
07N0367,-2,Less than 3 layers (in zstarfunc)
08KS187136,-2,Less than 3 layers (in zstarfunc)
08KS187147,-2,Less than 3 layers (in zstarfunc)
08KS187151,-2,Less than 3 layers (in zstarfunc)
08KS187321,-2,Less than 3 layers (in zstarfunc)
08KS187336,-2,Less than 3 layers (in zstarfunc)
08KY-067-001,-3,No available layers
08KY-067-002,-3,No available layers
08KY-067-003,-3,No available layers
08KY-067-005,-3,No available layers
08KY-067-009,-3,No available layers
08KY-167-001,-3,No available layers
08N0523,-3,No available layers
08N0524,-3,No available layers
08N0525,-3,No available layers
08N0526,-3,No available layers
09KY-021-001,-3,No available layers
09KY-113-001,-3,No available layers
09N1001,-2,Less than 3 layers (in zstarfunc)
09N1002,-2,Less than 3 layers (in zstarfunc)
09N1003,-2,Less than 3 layers (in zstarfunc)
09N1004,-2,Less than 3 layers (in zstarfunc)
09N1006,-2,Less than 3 layers (in zstarfunc)
10KS051016,-2,Less than 3 layers (in zstarfunc)
10N0447,-3,No available layers
10N0448,-3,No available layers
10N0449,-3,No available layers
10N0450,-3,No available layers
10N0451,-3,No available layers
10N0452,-3,No available layers
10N0453,-3,No available layers
10N0454,-3,No available layers
10N0455,-3,No available layers
10N0456,-3,No available layers
10N0457,-3,No available layers
10N0458,-3,No available layers
10N0459,-3,No available layers
10N0460,-3,No available layers
10N0461,-3,No available layers
10N0462,-3,No available layers
10N0463,-3,No available layers
10N0464,-3,No available layers
10N0465,-3,No available layers
10N0466,-3,No available layers
11N11933,-2,Less than 3 layers (in zstarfunc)
11N11943,-1,No mineral soil
11N11948,-2,Less than 3 layers (in zstarfunc)
11N14309,-1,No mineral soil
11N14314,-1,No mineral soil
11N14318,-1,No mineral soil
11N14322,-1,No mineral soil
11N14325,-1,No mineral soil
11N14329,-2,Less than 3 layers (in zstarfunc)
11N14332,-1,No mineral soil
11N14346,-1,No mineral soil
11N14350,-1,No mineral soil
11N14354,-1,No mineral soil
11N14357,-1,No mineral soil
11N14361,-1,No mineral soil
11N14368,-1,No mineral soil
11N14372,-1,No mineral soil
11N14382,-1,No mineral soil
11N14386,-1,No mineral soil
11N14388,-1,No mineral soil
11N14390,-2,Less than 3 layers (in zstarfunc)
11N14393,-1,No mineral soil
11N14396,-2,Less than 3 layers (in zstarfunc)
11N14399,-1,No mineral soil
11N14400,-2,Less than 3 layers (in zstarfunc)
11N14403,-2,Less than 3 layers (in zstarfunc)
11N14406,-1,No mineral soil
11N14408,-1,No mineral soil
11N14419,-1,No mineral soil
11N14423,-1,No mineral soil
11N14424,-1,No mineral soil
11N14428,-1,No mineral soil
11N14433,-1,No mineral soil
11N14443,-1,No mineral soil
11N14449,-1,No mineral soil
11N14450,-1,No mineral soil
11N14456,-1,No mineral soil
11N14457,-1,No mineral soil
11N14461,-1,No mineral soil
11N14462,-1,No mineral soil
11N14463,-1,No mineral soil
11N14469,-1,No mineral soil
11N14474,-1,No mineral soil
11N14498,-1,No mineral soil
11N14514,-1,No mineral soil
11N14518,-1,No mineral soil
11N14523,-2,Less than 3 layers (in zstarfunc)
11N14528,-1,No mineral soil
11N14537,-1,No mineral soil
11N14541,-1,No mineral soil
11N14542,-1,No mineral soil
11N14545,-1,No mineral soil
11N15581,-2,Less than 3 layers (in zstarfunc)
13N0582,-2,Less than 3 layers (in zstarfunc)
13N0583,-2,Less than 3 layers (in zstarfunc)
13N0584,-2,Less than 3 layers (in zstarfunc)
13N0585,-2,Less than 3 layers (in zstarfunc)
13N0586,-2,Less than 3 layers (in zstarfunc)
25IL191001,-3,No available layers
25IL191002,-3,No available layers
40A0170,-3,No available layers
40A1285,-3,No available layers
40A1286,-3,No available layers
40A1287,-3,No available layers
40A1873,-3,No available layers
40A1874,-3,No available layers
40A1883,-3,No available layers
40A1884,-3,No available layers
40A1885,-3,No available layers
40A1886,-3,No available layers
40A2920,-3,No available layers
40A3002,-3,No available layers
40A3003,-3,No available layers
40A3352,-3,No available layers
40A3353,-3,No available layers
40A3354,-3,No available layers
40A3361,-3,No available layers
40A3362,-3,No available layers
40A3363,-3,No available layers
40A3364,-3,No available layers
40A3383,-3,No available layers
40A3846,-3,No available layers
40A4038,-3,No available layers
44IL083001,-3,No available layers
45IL157001,-3,No available layers
45IL157002,-3,No available layers
47IL129001,-3,No available layers
55IL077001,-3,No available layers
55IL165001,-3,No available layers
56IL003001,-3,No available layers
56IL077001,-3,No available layers
56IL199002,-3,No available layers
59IL051002,-3,No available layers
59IL135003,-3,No available layers
60IL135005,-3,No available layers
60IL135006,-3,No available layers
60IL135007,-3,No available layers
61IL049004,-3,No available layers
61IL077001,-3,No available layers
61IL077005,-3,No available layers
61KY-183-001,-3,No available layers
62PA057009,-3,No available layers
62PA057015,-3,No available layers
63IL079001,-3,No available layers
64IL019001,-2,Less than 3 layers (in zstarfunc)
64IL019002,-2,Less than 3 layers (in zstarfunc)
64IL019004,-2,Less than 3 layers (in zstarfunc)
64IL019006,-2,Less than 3 layers (in zstarfunc)
64IL019007,-2,Less than 3 layers (in zstarfunc)
67C0020,-3,No available layers
67C0021,-3,No available layers
67IL023001,-3,No available layers
68IL023004,-3,No available layers
69KS017017,-2,Less than 3 layers (in zstarfunc)
69KS127017,-3,No available layers
70IL059001,-3,No available layers
70IL059002,-3,No available layers
70IL059003,-3,No available layers
70IL077001,-3,No available layers
70IL077002,-3,No available layers
70IL101001,-3,No available layers
70IL101002,-3,No available layers
70IL101003,-3,No available layers
70IL121001,-3,No available layers
70IL163001,-3,No available layers
70IL165001,-3,No available layers
70IL199001,-3,No available layers
71KS141017,-3,No available layers
72C0002,-3,No available layers
73C0064,-3,No available layers
73IL077001,-3,No available layers
73IL163001,-3,No available layers
73IL165001,-3,No available layers
73IL165002,-3,No available layers
73IL167001,-3,No available layers
74IL163003,-3,No available layers
74IL163004,-3,No available layers
74KS185001,-3,No available layers
